surname,weight
신광 진(陳),1071
나주 편(片),1063
영광 유(柳),1057
행주 이(李),1054
익산 소(蘇),1043
양산 진(陳),1042
예양 천(千),1038
양덕 송(宋),1037
해주 경(景),1033
용궁 최(崔),1032
직산 최(崔),1024
청주 지(池),1017
청송 김(金),1014
밀양 당(唐),1014
선성 이(李),1011
홍주 석(石),1009
여주 박(朴),1007
옥구 이(李),1003
정안 차(車),1002
