data,_freq
1117012200|서울특별시 용산구 백범로90길 90|용산KCC웰츠타워,1
1117012200|서울특별시 용산구 백범로90라길 28|삼라마이다스빌2,1
1117012200|서울특별시 용산구 청파로 205-26|이안용산3차,1
1117012200|서울특별시 용산구 청파로 201-17|G&P용산파크,1
1117012200|서울특별시 용산구 백범로90길 38|프라임팰리스,1
1117012200|서울특별시 용산구 백범로90길 12|용산큐브,1
1117012300|서울특별시 용산구 원효로 216|용산e편한세상,1
1117012400|서울특별시 용산구 한강대로 205|용산파크자이,1
1117012400|서울특별시 용산구 한강대로 211|대우월드마크용산,1
1117012400|서울특별시 용산구 한강대로62길 32|삼각아파트,1
1117012500|서울특별시 용산구 한강대로30길 25|아스테리움 용산,1
1117012500|서울특별시 용산구 한강대로 95|래미안용산더센트럴,1
1117012500|서울특별시 용산구 한강대로 69|용산푸르지오써밋(420),1
1117012500|서울특별시 용산구 한강대로43길 8|벽산메가트리움,1
1117012500|서울특별시 용산구 한강대로53길 16|용산파크e-편한세상,1
1117012500|서울특별시 용산구 청파로20길 9|용산아이피아대주피오레,1
1117012500|서울특별시 용산구 한강대로43길 13|한강로대우아이빌,1
1117012700|서울특별시 용산구 서빙고로 69|용산파크타워(24-1),1
1117012700|서울특별시 용산구 서빙고로 67|용산파크타워(24-0),1
1117012800|서울특별시 용산구 서빙고로 35|용산 시티파크(1단지),1
1117012800|서울특별시 용산구 한강대로 26|한강대우트럼프월드3,1
1117012800|서울특별시 용산구 서빙고로 31|시티파크(2단지),1
1117012800|서울특별시 용산구 이촌로29길 21-7|우림필유,1
1117012800|서울특별시 용산구 한강대로10길 14|쌍용스윗닷홈,1
1117012800|서울특별시 용산구 이촌로 1|한강자이에클라트,1
1117012800|서울특별시 용산구 서빙고로 48|철우,1
1117012800|서울특별시 용산구 청파로 83|원효전자상가,1
1117012800|서울특별시 용산구 청파로 113-11|전자타운상가,1
1117012800|서울특별시 용산구 한강대로14길 37|시티하우스,1
1117012900|서울특별시 용산구 이촌로64길 20|노들,1
1117012900|서울특별시 용산구 이촌로 156|빌라맨션,1
1117012900|서울특별시 용산구 이촌로84길 9-12|중앙하이츠(B),1
1117012900|서울특별시 용산구 이촌로84길 17|중앙하이츠(A),1
1117012900|서울특별시 용산구 이촌로46길 26|퀸스리버빌,1
1117012900|서울특별시 용산구 이촌로64길 61|장미,1
